Title,Text,Tag,Days_Left,Price,Total Bids ,Url
Need a commercial interior designer,I have an asian restaurant and looking for ideas to re-design the interior.,Building Architecture,6 days left,$941 Avg Bid,38 bids,https://www.freelancer.com/projects/threed-modelling/need-commercial-interior-designer/
High-end Precast Concrete Engineering,"Can you design Precast Concrete House with precast floors and walls and find out the logistics of delivering the precast concrete to anywhere in Europe. Please show a technical precast wall drawing that can be sent to factory for manufacturing. The technical drawing should not only contain dimensions, but also the concrete strength class and rebar requirements meeting the Eurocode standards.",Building Architecture,6 days left,$52777 Avg Bid,2 bids,https://www.freelancer.com/projects/building-architecture/high-end-precast-concrete-engineering/
Experienced Precast Concrete Engineer....,"Can you design Precast Concrete House with precast floors and walls and find out the logistics of delivering the precast concrete to anywhere in Europe. Please show a technical precast wall drawing that can be sent to factory for manufacturing. The technical drawing should not only contain dimensions, but also the concrete strength class and rebar requirements meeting the Eurocode standards.",Building Architecture,6 days left,$402 Avg Bid,4 bids,https://www.freelancer.com/projects/building-architecture/experienced-precast-concrete-engineer/
3D rendering for office building,i need the best of the best top rendering of a new 5 story office building exterior & interior i have my floor plans & elevations on revit & cad thank you,Building Architecture,6 days left,$485 Avg Bid,59 bids,https://www.freelancer.com/projects/threed-modelling/rendering-for-office-building/
house plans,I am planing to build a house in Ottawa Ontario. I need the plans drawn to meet the city regulations,Building Architecture,6 days left,$1342 Avg Bid,32 bids,https://www.freelancer.com/projects/building-architecture/house-plans-19594417/
Logo needed for Global Meeting,"I am looking for a freelancer to create a logo for our global meeting that is taking place in Greece in early April. We might also be interested in a powerpoint template to go along with the logo (to be determined). A theme has been determined, so we just need someone to bring it to life for us. Please send examples of logos for meetings that you have created before in your cover letter if possi...",Building Architecture,6 days left,$387 Avg Bid,21 bids,https://www.freelancer.com/projects/mobile-phone/logo-needed-for-global-meeting-19594420/
"Cabinet, Concrete, and Steel Shop Drawings","Hi, I am looking for help with shop drawings for cabinetry, concrete/rebar, and structural steel. Please read the entire description so we are not wasting each other's time. A few requirements: - fluent english -- prefer North American time zones. Anywhere between pacific and east coast - NEEDS to be in Revit - You must have good experience What I need to see: - one or two of your best...",Building Architecture,6 days left,$327 Avg Bid,22 bids,https://www.freelancer.com/projects/threed-modelling/cabinet-concrete-steel-shop-drawings/
Design a Master Bedroom,"I would like a nice design in 2d or 3d for a beautiful bedroom with 2 full-size beds 54"" & a love seat. The size of the bathroom space is 180"" x 136.8"" Inch. (15 x 11.4 foot) See attached a drawing of the room We would like to add these or similar headboard [login to view URL] feel free to ask any questions you may have.",Building Architecture,29 days left,$25,0 entries,https://www.freelancer.com/contest/design-a-master-bedroom-1501153.html
3d design architecture,landscaping 3d design architecture,Building Architecture,6 days left,$110 Avg Bid,30 bids,https://www.freelancer.com/projects/threed-modelling/design-architecture/
Jewelry Auto CAD Designer in Los Angeles Area,Looking for someone to work inhouse to modify our design work that we have on AutoCad . We are located in city of commerce and we are starting interviews this week to start working either this week or next week. Must work at our business office.,Building Architecture,6 days left,$19 / hr Avg Bid,5 bids,https://www.freelancer.com/projects/building-architecture/jewelry-auto-cad-designer-los/
